usuarios avg p90 rate avg p90 rate
1 44 28 0.200000 25 20 0.400000
101 13 17 17.900000 8 16 34.500000
202 12 17 20.700000 8 15 40.900000
301 12 17 52.100000 8 15 100.500000
401 11 17 68.900000 7 15 132.500000
501 12 17 86.000000 7 15 165.600000
601 12 18 102.000000 7 15 196.000000
701 12 19 117.200000 8 15 226.500000
801 12 19 136.900000 8 16 263.200000
901 13 21 152.400000 9 18 293.700000
1001 14 22 168.400000 9 18 324.800000
1101 14 24 190.300000 10 20 364.900000
1201 16 29 202.000000 11 25 390.200000
1301 17 31 219.800000 12 27 424.100000
1401 114 53 205.800000 106 48 399.300000
1501 48 148 250.442153 49 150 481.900634
1601 37 75 266.400000 31 69 513.500000
1701 55 107 281.600000 49 101 544.600000
1801 156 256 288.500000 151 252 558.300000
1901 328 544 289.900000 321 535 560.200000
2001 501 738 287.700000 492 732 557.900000
2101 675 847 290.200000 662 838 563.500000
2201 696 881 295.000000 681 867 572.200000
2301 736 1094 302.000000 724 1086 588.000000
2401 813 1406 275.000000 799 1399 536.500000
2501 905 1600 249.500000 885 1570 488.600000
